Date,seriesA,seriesB
2010-01-04,2308.419921875,1132.989990234375
2010-01-05,2308.7099609375,1136.52001953125
2010-01-06,2301.090087890625,1137.1400146484375
2010-01-07,2300.050048828125,1141.68994140625
2010-01-08,2317.169921875,1144.97998046875
2010-01-11,2312.409912109375,1146.97998046875
2010-01-12,2282.31005859375,1136.219970703125
2010-01-13,2307.89990234375,1145.6800537109375
2010-01-14,2316.739990234375,1148.4599609375
2010-01-15,2287.989990234375,1136.030029296875
2010-01-19,2320.39990234375,1150.22998046875
2010-01-20,2291.25,1138.0400390625
2010-01-21,2265.699951171875,1116.47998046875
2010-01-22,2205.2900390625,1091.760009765625
2010-01-25,2210.800048828125,1096.780029296875
2010-01-26,2203.72998046875,1092.1700439453125
2010-01-27,2221.409912109375,1097.5
2010-01-28,2179.0,1084.530029296875
2010-01-29,2147.35009765625,1073.8699951171875
2010-02-01,2171.199951171875,1089.18994140625
2010-02-02,2190.06005859375,1103.3199462890625
2010-02-03,2190.909912109375,1097.280029296875
2010-02-04,2125.429931640625,1063.1099853515625
2010-02-05,2141.1201171875,1066.18994140625
2010-02-08,2126.050048828125,1056.739990234375
2010-02-09,2150.8701171875,1070.52001953125
2010-02-10,2147.8701171875,1068.1300048828125
2010-02-11,2177.409912109375,1078.469970703125
2010-02-12,2183.530029296875,1075.510009765625
2010-02-16,2214.18994140625,1094.8699951171875
2010-02-17,2226.2900390625,1099.510009765625
2010-02-18,2241.7099609375,1106.75
2010-02-19,2243.8701171875,1109.1700439453125
2010-02-22,2242.030029296875,1108.010009765625
2010-02-23,2213.43994140625,1094.5999755859375
2010-02-24,2235.89990234375,1105.239990234375
2010-02-25,2234.219970703125,1102.93994140625
2010-02-26,2238.260009765625,1104.489990234375
2010-03-01,2273.570068359375,1115.7099609375
2010-03-02,2280.7900390625,1118.31005859375
2010-03-03,2280.679931640625,1118.7900390625
2010-03-04,2292.31005859375,1122.969970703125
2010-03-05,2326.35009765625,1138.699951171875
2010-03-08,2332.2099609375,1138.5
2010-03-09,2340.679931640625,1140.449951171875
2010-03-10,2358.949951171875,1145.6099853515625
2010-03-11,2368.4599609375,1150.239990234375
2010-03-12,2367.659912109375,1149.989990234375
2010-03-15,2362.2099609375,1150.510009765625
2010-03-16,2378.010009765625,1159.4599609375
2010-03-17,2389.090087890625,1166.2099609375
2010-03-18,2391.280029296875,1165.8299560546875
2010-03-19,2374.409912109375,1159.9000244140625
2010-03-22,2395.39990234375,1165.81005859375
2010-03-23,2415.239990234375,1174.1700439453125
2010-03-24,2398.760009765625,1167.719970703125
2010-03-25,2397.409912109375,1165.72998046875
2010-03-26,2395.1298828125,1166.5899658203125
2010-03-29,2404.360107421875,1173.219970703125
2010-03-30,2410.68994140625,1173.27001953125
2010-03-31,2397.9599609375,1169.4300537109375
2010-04-01,2402.580078125,1178.0999755859375
2010-04-05,2429.530029296875,1187.43994140625
2010-04-06,2436.81005859375,1189.43994140625
2010-04-07,2431.159912109375,1182.449951171875
2010-04-08,2436.81005859375,1186.43994140625
2010-04-09,2454.050048828125,1194.3699951171875
2010-04-12,2457.8701171875,1196.47998046875
2010-04-13,2465.989990234375,1197.300048828125
2010-04-14,2504.860107421875,1210.6500244140625
2010-04-15,2515.68994140625,1211.6700439453125
2010-04-16,2481.260009765625,1192.1300048828125
2010-04-19,2480.110107421875,1197.52001953125
2010-04-20,2500.31005859375,1207.1700439453125
2010-04-21,2504.610107421875,1205.93994140625
2010-04-22,2519.070068359375,1208.6700439453125
2010-04-23,2530.14990234375,1217.280029296875
2010-04-26,2522.949951171875,1212.050048828125
2010-04-27,2471.469970703125,1183.7099609375
2010-04-28,2471.72998046875,1191.3599853515625
2010-04-29,2511.919921875,1206.780029296875
2010-04-30,2461.18994140625,1186.68994140625
2010-05-03,2498.739990234375,1202.260009765625
2010-05-04,2424.25,1173.5999755859375
2010-05-05,2402.2900390625,1165.8699951171875
2010-05-06,2319.639892578125,1128.1500244140625
2010-05-07,2265.639892578125,1110.8800048828125
2010-05-10,2374.669921875,1159.72998046875
2010-05-11,2375.31005859375,1155.7900390625
2010-05-12,2425.02001953125,1171.6700439453125
2010-05-13,2394.360107421875,1157.43994140625
2010-05-14,2346.85009765625,1135.6800537109375
2010-05-17,2354.22998046875,1136.93994140625
2010-05-18,2317.260009765625,1120.800048828125
2010-05-19,2298.3701171875,1115.050048828125
2010-05-20,2204.010009765625,1071.5899658203125
2010-05-21,2229.0400390625,1087.68994140625
2010-05-24,2213.550048828125,1073.6500244140625
2010-05-25,2210.949951171875,1074.030029296875
2010-05-26,2195.8798828125,1067.949951171875
2010-05-27,2277.679931640625,1103.06005859375
2010-05-28,2257.0400390625,1089.4100341796875
2010-06-01,2222.330078125,1070.7099609375
2010-06-02,2281.070068359375,1098.3800048828125
2010-06-03,2303.030029296875,1102.8299560546875
2010-06-04,2219.169921875,1064.8800048828125
2010-06-07,2173.89990234375,1050.469970703125
2010-06-08,2170.570068359375,1062.0
2010-06-09,2158.85009765625,1055.68994140625
2010-06-10,2218.7099609375,1086.8399658203125
2010-06-11,2243.60009765625,1091.5999755859375
2010-06-14,2243.9599609375,1089.6300048828125
2010-06-15,2305.8798828125,1115.22998046875
2010-06-16,2305.929931640625,1114.6099853515625
2010-06-17,2307.159912109375,1116.0400390625
2010-06-18,2309.800048828125,1117.510009765625
2010-06-21,2289.090087890625,1113.199951171875
2010-06-22,2261.800048828125,1095.31005859375
2010-06-23,2254.22998046875,1092.0400390625
2010-06-24,2217.419921875,1073.68994140625
2010-06-25,2223.47998046875,1076.760009765625
